expiry,entry,elm_time,cutoff_time
2025-08-19 15:30:00,2025-08-14 10:30:00,2025-08-18 15:15:00,2025-08-18 09:15:00
2025-08-26 15:30:00,2025-08-21 10:30:00,2025-08-25 15:15:00,2025-08-25 09:15:00
2025-09-04 15:30:00,2025-09-01 10:30:00,2025-09-03 15:15:00,2025-09-03 09:15:00
2025-09-11 15:30:00,2025-09-08 10:30:00,2025-09-10 15:15:00,2025-09-10 09:15:00
2025-09-18 15:30:00,2025-09-15 10:30:00,2025-09-17 15:15:00,2025-09-17 09:15:00
2025-09-25 15:30:00,2025-09-22 10:30:00,2025-09-24 15:15:00,2025-09-24 09:15:00
2025-10-01 15:30:00,2025-09-29 10:30:00,2025-09-30 15:15:00,2025-09-30 09:15:00
2025-10-09 15:30:00,2025-10-06 10:30:00,2025-10-08 15:15:00,2025-10-08 09:15:00
2025-10-16 15:30:00,2025-10-13 10:30:00,2025-10-15 15:15:00,2025-10-15 09:15:00
2025-10-23 15:30:00,2025-10-20 10:30:00,2025-10-20 15:15:00,2025-10-20 09:15:00
2025-10-30 15:30:00,2025-10-27 10:30:00,2025-10-29 15:15:00,2025-10-29 09:15:00
2025-11-06 15:30:00,2025-11-03 10:30:00,2025-11-04 15:15:00,2025-11-04 09:15:00
2025-11-13 15:30:00,2025-11-10 10:30:00,2025-11-12 15:15:00,2025-11-12 09:15:00
2025-11-20 15:30:00,2025-11-17 10:30:00,2025-11-19 15:15:00,2025-11-19 09:15:00
2025-11-27 15:30:00,2025-11-24 10:30:00,2025-11-26 15:15:00,2025-11-26 09:15:00
2025-12-04 15:30:00,2025-12-01 10:30:00,2025-12-03 15:15:00,2025-12-03 09:15:00
2025-12-11 15:30:00,2025-12-08 10:30:00,2025-12-10 15:15:00,2025-12-10 09:15:00
2025-12-18 15:30:00,2025-12-15 10:30:00,2025-12-17 15:15:00,2025-12-17 09:15:00
2025-12-24 15:30:00,2025-12-22 10:30:00,2025-12-23 15:15:00,2025-12-23 09:15:00
2026-01-01 15:30:00,2025-12-29 10:30:00,2025-12-31 15:15:00,2025-12-31 09:15:00
2026-01-08 15:30:00,2026-01-05 10:30:00,2026-01-07 15:15:00,2026-01-07 09:15:00
2026-01-15 15:30:00,2026-01-12 10:30:00,2026-01-14 15:15:00,2026-01-14 09:15:00
2026-01-22 15:30:00,2026-01-19 10:30:00,2026-01-21 15:15:00,2026-01-21 09:15:00
2026-01-29 15:30:00,2026-01-27 10:30:00,2026-01-28 15:15:00,2026-01-28 09:15:00
2026-02-05 15:30:00,2026-02-02 10:30:00,2026-02-04 15:15:00,2026-02-04 09:15:00
2026-02-12 15:30:00,2026-02-09 10:30:00,2026-02-11 15:15:00,2026-02-11 09:15:00
2026-02-19 15:30:00,2026-02-16 10:30:00,2026-02-18 15:15:00,2026-02-18 09:15:00
2026-02-26 15:30:00,2026-02-23 10:30:00,2026-02-25 15:15:00,2026-02-25 09:15:00
2026-03-05 15:30:00,2026-03-02 10:30:00,2026-03-04 15:15:00,2026-03-04 09:15:00
2026-03-12 15:30:00,2026-03-09 10:30:00,2026-03-11 15:15:00,2026-03-11 09:15:00
2026-03-19 15:30:00,2026-03-16 10:30:00,2026-03-18 15:15:00,2026-03-18 09:15:00
2026-03-25 15:30:00,2026-03-23 10:30:00,2026-03-24 15:15:00,2026-03-24 09:15:00
2026-04-02 15:30:00,2026-03-30 10:30:00,2026-04-01 15:15:00,2026-04-01 09:15:00
2026-04-09 15:30:00,2026-04-06 10:30:00,2026-04-08 15:15:00,2026-04-08 09:15:00
2026-04-16 15:30:00,2026-04-13 10:30:00,2026-04-15 15:15:00,2026-04-15 09:15:00
2026-04-23 15:30:00,2026-04-20 10:30:00,2026-04-22 15:15:00,2026-04-22 09:15:00
2026-04-30 15:30:00,2026-04-27 10:30:00,2026-04-29 15:15:00,2026-04-29 09:15:00
2026-05-07 15:30:00,2026-05-04 10:30:00,2026-05-06 15:15:00,2026-05-06 09:15:00
2026-05-14 15:30:00,2026-05-11 10:30:00,2026-05-13 15:15:00,2026-05-13 09:15:00
2026-05-21 15:30:00,2026-05-18 10:30:00,2026-05-20 15:15:00,2026-05-20 09:15:00
2026-05-27 15:30:00,2026-05-25 10:30:00,2026-05-26 15:15:00,2026-05-26 09:15:00
2026-06-04 15:30:00,2026-06-01 10:30:00,2026-06-03 15:15:00,2026-06-03 09:15:00
2026-06-11 15:30:00,2026-06-08 10:30:00,2026-06-10 15:15:00,2026-06-10 09:15:00
2026-06-18 15:30:00,2026-06-15 10:30:00,2026-06-17 15:15:00,2026-06-17 09:15:00
2026-06-25 15:30:00,2026-06-22 10:30:00,2026-06-24 15:15:00,2026-06-24 09:15:00
2026-07-02 15:30:00,2026-06-29 10:30:00,2026-07-01 15:15:00,2026-07-01 09:15:00
2026-07-09 15:30:00,2026-07-06 10:30:00,2026-07-08 15:15:00,2026-07-08 09:15:00
2026-07-16 15:30:00,2026-07-13 10:30:00,2026-07-15 15:15:00,2026-07-15 09:15:00
2026-07-23 15:30:00,2026-07-20 10:30:00,2026-07-22 15:15:00,2026-07-22 09:15:00
2026-07-30 15:30:00,2026-07-27 10:30:00,2026-07-29 15:15:00,2026-07-29 09:15:00
2026-08-06 15:30:00,2026-08-03 10:30:00,2026-08-05 15:15:00,2026-08-05 09:15:00
2026-08-13 15:30:00,2026-08-10 10:30:00,2026-08-12 15:15:00,2026-08-12 09:15:00
2026-08-20 15:30:00,2026-08-17 10:30:00,2026-08-19 15:15:00,2026-08-19 09:15:00
2026-08-27 15:30:00,2026-08-24 10:30:00,2026-08-26 15:15:00,2026-08-26 09:15:00
2026-09-03 15:30:00,2026-08-31 10:30:00,2026-09-02 15:15:00,2026-09-02 09:15:00
2026-09-10 15:30:00,2026-09-07 10:30:00,2026-09-09 15:15:00,2026-09-09 09:15:00
2026-09-17 15:30:00,2026-09-15 10:30:00,2026-09-16 15:15:00,2026-09-16 09:15:00
2026-09-24 15:30:00,2026-09-21 10:30:00,2026-09-23 15:15:00,2026-09-23 09:15:00
2026-10-01 15:30:00,2026-09-28 10:30:00,2026-09-30 15:15:00,2026-09-30 09:15:00
2026-10-08 15:30:00,2026-10-05 10:30:00,2026-10-07 15:15:00,2026-10-07 09:15:00
2026-10-15 15:30:00,2026-10-12 10:30:00,2026-10-14 15:15:00,2026-10-14 09:15:00
2026-10-22 15:30:00,2026-10-19 10:30:00,2026-10-21 15:15:00,2026-10-21 09:15:00
2026-10-29 15:30:00,2026-10-26 10:30:00,2026-10-28 15:15:00,2026-10-28 09:15:00
2026-11-05 15:30:00,2026-11-02 10:30:00,2026-11-04 15:15:00,2026-11-04 09:15:00
2026-11-12 15:30:00,2026-11-09 10:30:00,2026-11-11 15:15:00,2026-11-11 09:15:00
2026-11-19 15:30:00,2026-11-16 10:30:00,2026-11-18 15:15:00,2026-11-18 09:15:00
2026-11-26 15:30:00,2026-11-23 10:30:00,2026-11-25 15:15:00,2026-11-25 09:15:00
2026-12-03 15:30:00,2026-11-30 10:30:00,2026-12-02 15:15:00,2026-12-02 09:15:00
2026-12-10 15:30:00,2026-12-07 10:30:00,2026-12-09 15:15:00,2026-12-09 09:15:00
2026-12-17 15:30:00,2026-12-14 10:30:00,2026-12-16 15:15:00,2026-12-16 09:15:00
2026-12-24 15:30:00,2026-12-21 10:30:00,2026-12-23 15:15:00,2026-12-23 09:15:00
2026-12-31 15:30:00,2026-12-28 10:30:00,2026-12-30 15:15:00,2026-12-30 09:15:00
2027-01-07 15:30:00,2027-01-04 10:30:00,2027-01-06 15:15:00,2027-01-06 09:15:00
2027-01-14 15:30:00,2027-01-11 10:30:00,2027-01-13 15:15:00,2027-01-13 09:15:00
2027-01-21 15:30:00,2027-01-18 10:30:00,2027-01-20 15:15:00,2027-01-20 09:15:00
2027-01-28 15:30:00,2027-01-25 10:30:00,2027-01-27 15:15:00,2027-01-27 09:15:00
2027-02-04 15:30:00,2027-02-01 10:30:00,2027-02-03 15:15:00,2027-02-03 09:15:00
2027-02-11 15:30:00,2027-02-08 10:30:00,2027-02-10 15:15:00,2027-02-10 09:15:00
2027-02-18 15:30:00,2027-02-15 10:30:00,2027-02-17 15:15:00,2027-02-17 09:15:00
2027-02-25 15:30:00,2027-02-22 10:30:00,2027-02-24 15:15:00,2027-02-24 09:15:00
2027-03-04 15:30:00,2027-03-01 10:30:00,2027-03-03 15:15:00,2027-03-03 09:15:00
2027-03-11 15:30:00,2027-03-08 10:30:00,2027-03-10 15:15:00,2027-03-10 09:15:00
2027-03-18 15:30:00,2027-03-15 10:30:00,2027-03-17 15:15:00,2027-03-17 09:15:00
2027-03-25 15:30:00,2027-03-22 10:30:00,2027-03-24 15:15:00,2027-03-24 09:15:00
2027-04-01 15:30:00,2027-03-29 10:30:00,2027-03-31 15:15:00,2027-03-31 09:15:00
2027-04-08 15:30:00,2027-04-05 10:30:00,2027-04-07 15:15:00,2027-04-07 09:15:00
2027-04-15 15:30:00,2027-04-12 10:30:00,2027-04-14 15:15:00,2027-04-14 09:15:00
2027-04-22 15:30:00,2027-04-19 10:30:00,2027-04-21 15:15:00,2027-04-21 09:15:00
2027-04-29 15:30:00,2027-04-26 10:30:00,2027-04-28 15:15:00,2027-04-28 09:15:00
2027-05-06 15:30:00,2027-05-03 10:30:00,2027-05-05 15:15:00,2027-05-05 09:15:00
2027-05-13 15:30:00,2027-05-10 10:30:00,2027-05-12 15:15:00,2027-05-12 09:15:00
2027-05-20 15:30:00,2027-05-17 10:30:00,2027-05-19 15:15:00,2027-05-19 09:15:00
2027-05-27 15:30:00,2027-05-24 10:30:00,2027-05-26 15:15:00,2027-05-26 09:15:00
2027-06-03 15:30:00,2027-05-31 10:30:00,2027-06-02 15:15:00,2027-06-02 09:15:00
2027-06-10 15:30:00,2027-06-07 10:30:00,2027-06-09 15:15:00,2027-06-09 09:15:00
2027-06-17 15:30:00,2027-06-14 10:30:00,2027-06-16 15:15:00,2027-06-16 09:15:00
2027-06-24 15:30:00,2027-06-21 10:30:00,2027-06-23 15:15:00,2027-06-23 09:15:00
2027-07-01 15:30:00,2027-06-28 10:30:00,2027-06-30 15:15:00,2027-06-30 09:15:00
2027-07-08 15:30:00,2027-07-05 10:30:00,2027-07-07 15:15:00,2027-07-07 09:15:00
2027-07-15 15:30:00,2027-07-12 10:30:00,2027-07-14 15:15:00,2027-07-14 09:15:00
2027-07-22 15:30:00,2027-07-19 10:30:00,2027-07-21 15:15:00,2027-07-21 09:15:00
2027-07-29 15:30:00,2027-07-26 10:30:00,2027-07-28 15:15:00,2027-07-28 09:15:00
2027-08-05 15:30:00,2027-08-02 10:30:00,2027-08-04 15:15:00,2027-08-04 09:15:00
2027-08-12 15:30:00,2027-08-09 10:30:00,2027-08-11 15:15:00,2027-08-11 09:15:00
2027-08-19 15:30:00,2027-08-16 10:30:00,2027-08-18 15:15:00,2027-08-18 09:15:00
2027-08-26 15:30:00,2027-08-23 10:30:00,2027-08-25 15:15:00,2027-08-25 09:15:00
2027-09-02 15:30:00,2027-08-30 10:30:00,2027-09-01 15:15:00,2027-09-01 09:15:00
2027-09-09 15:30:00,2027-09-06 10:30:00,2027-09-08 15:15:00,2027-09-08 09:15:00
2027-09-16 15:30:00,2027-09-13 10:30:00,2027-09-15 15:15:00,2027-09-15 09:15:00
2027-09-23 15:30:00,2027-09-20 10:30:00,2027-09-22 15:15:00,2027-09-22 09:15:00
2027-09-30 15:30:00,2027-09-27 10:30:00,2027-09-29 15:15:00,2027-09-29 09:15:00
2027-10-07 15:30:00,2027-10-04 10:30:00,2027-10-06 15:15:00,2027-10-06 09:15:00
2027-10-14 15:30:00,2027-10-11 10:30:00,2027-10-13 15:15:00,2027-10-13 09:15:00
2027-10-21 15:30:00,2027-10-18 10:30:00,2027-10-20 15:15:00,2027-10-20 09:15:00
2027-10-28 15:30:00,2027-10-25 10:30:00,2027-10-27 15:15:00,2027-10-27 09:15:00
2027-11-04 15:30:00,2027-11-01 10:30:00,2027-11-03 15:15:00,2027-11-03 09:15:00
2027-11-11 15:30:00,2027-11-08 10:30:00,2027-11-10 15:15:00,2027-11-10 09:15:00
2027-11-18 15:30:00,2027-11-15 10:30:00,2027-11-17 15:15:00,2027-11-17 09:15:00
2027-11-25 15:30:00,2027-11-22 10:30:00,2027-11-24 15:15:00,2027-11-24 09:15:00
2027-12-02 15:30:00,2027-11-29 10:30:00,2027-12-01 15:15:00,2027-12-01 09:15:00
2027-12-09 15:30:00,2027-12-06 10:30:00,2027-12-08 15:15:00,2027-12-08 09:15:00
2027-12-16 15:30:00,2027-12-13 10:30:00,2027-12-15 15:15:00,2027-12-15 09:15:00
2027-12-23 15:30:00,2027-12-20 10:30:00,2027-12-22 15:15:00,2027-12-22 09:15:00
2027-12-30 15:30:00,2027-12-27 10:30:00,2027-12-29 15:15:00,2027-12-29 09:15:00
2028-01-06 15:30:00,2028-01-03 10:30:00,2028-01-05 15:15:00,2028-01-05 09:15:00
2028-01-13 15:30:00,2028-01-10 10:30:00,2028-01-12 15:15:00,2028-01-12 09:15:00
2028-01-20 15:30:00,2028-01-17 10:30:00,2028-01-19 15:15:00,2028-01-19 09:15:00
2028-01-27 15:30:00,2028-01-24 10:30:00,2028-01-26 15:15:00,2028-01-26 09:15:00
2028-02-03 15:30:00,2028-01-31 10:30:00,2028-02-02 15:15:00,2028-02-02 09:15:00
2028-02-10 15:30:00,2028-02-07 10:30:00,2028-02-09 15:15:00,2028-02-09 09:15:00
2028-02-17 15:30:00,2028-02-14 10:30:00,2028-02-16 15:15:00,2028-02-16 09:15:00
2028-02-24 15:30:00,2028-02-21 10:30:00,2028-02-23 15:15:00,2028-02-23 09:15:00
2028-03-02 15:30:00,2028-02-28 10:30:00,2028-03-01 15:15:00,2028-03-01 09:15:00
2028-03-09 15:30:00,2028-03-06 10:30:00,2028-03-08 15:15:00,2028-03-08 09:15:00
2028-03-16 15:30:00,2028-03-13 10:30:00,2028-03-15 15:15:00,2028-03-15 09:15:00
2028-03-23 15:30:00,2028-03-20 10:30:00,2028-03-22 15:15:00,2028-03-22 09:15:00
